source_no,recruitment_name,legacy_racehorse_name,dam,sire,bms,sex,birthday,height_cm,chest_cm,cannon_cm,weight_kg,bdate,legacy_prize,legacy_classprize
530,サンブルエミューズの2017,ヴェスターヴァルト,サンブルエミューズ,ノヴェリスト,ダイワメジャー,牡,2017-03-16,150,169,20,427,517,8040,2400
531,ゼマティスの2017,シェーネメロディ,ゼマティス,ノヴェリスト,ゼンノロブロイ,牝,2017-03-08,150.5,174,19.8,450,525,710,0
532,カロンセギュールの2017,マクラーレンベール,カロンセギュール,キンシャサノキセキ,Forest Camp,牡,2017-04-17,151,169,20.5,435,485,0,0
533,レインオアシャインの2017,サザンレインボー,レインオアシャイン,サウスヴィグラス,キングカメハメハ,牡,2017-04-10,155,176.5,20.5,477,492,1800,900
534,タイトルパートの2017,リーディングパート,タイトルパート,ハービンジャー,アグネスタキオン,牝,2017-02-12,155,178,19.8,431,549,1510,400
535,メガクライトの2017,フラムエトワール,メガクライト,パイロ,アグネスタキオン,牝,2017-02-04,151.5,175,20,447,557,0,0
536,パシフィックリムの2017,デイトライン,パシフィックリム,Ｚｏｆｆａｎｙ,Singspiel,牝,2017-04-19,151,176,19.5,439,483,440,0
537,クリソプレーズの2017,ヴァーダイト,クリソプレーズ,ディープインパクト,エルコンドルパサー,牡,2017-02-17,162,172,21,429,544,4840,1500
538,レディドーヴィルの2017,トゥルーヴィル,レディドーヴィル,ディープインパクト,ファスリエフ,牡,2017-03-06,153,168,20.6,411,527,6876,1500
539,シェルズレイの2017,レイパパレ,シェルズレイ,ディープインパクト,クロフネ,牝,2017-01-28,155,169,19.2,420,564,38780,16550
540,シンハリーズの2017,ライティア,シンハリーズ,ディープインパクト,Singspiel,牝,2017-04-21,149,167,19,392,481,8350,2400
541,ファッションプレートの2017,クレイジーキルト,ファッションプレート,ディープインパクト,Ｏｌｄ Fashioned,牝,2017-05-12,147,170,19.5,383,460,0,0
542,ディアマイベイビーの2017,キングサーガ,ディアマイベイビー,キングカメハメハ,ディープインパクト,牡,2017-05-24,153,172.5,20,424,448,7537,1500
543,レディシャツィの2017,ナスタチューム,レディシャツィ,キングカメハメハ,Privately Held,牝,2017-02-03,159,182,20,457,558,0,0
544,ヒストリックスターの2017,ゴールドティア,ヒストリックスター,キングカメハメハ,ファルブラヴ,牝,2017-03-27,151,173,20.2,436,506,5480,1500
545,シーザリオの2017,ファーストフォリオ,シーザリオ,キングカメハメハ,スペシャルウィーク,牝,2017-05-01,150.5,168.5,19,415,471,6780,2400
546,グランデアモーレの2017,グランデマーレ,グランデアモーレ,ロードカナロア,ネオユニヴァース,牡,2017-02-07,158,175,20.4,473,554,10210,3800
547,ローズノーブルの2017,ジュビリーヘッド,ローズノーブル,ロードカナロア,ディープインパクト,牡,2017-03-31,149,168.5,20.3,404,502,15400,5200
548,リリサイドの2017,リリレフア,リリサイド,ロードカナロア,American Post,牝,2017-01-28,158,174.5,19.4,437,564,185,0
549,シシリアンブリーズの2017,ジルジェンティ,シシリアンブリーズ,ロードカナロア,ゼンノロブロイ,牝,2017-02-24,154.5,171,19.5,423,537,187,0
550,バッシフローラの2017,デイトライン,バッシフローラ,ロードカナロア,ディープインパクト,牝,2017-05-09,148.5,169,19,392,463,440,0
551,フォンタネリーチェの2017,サンテルノ,フォンタネリーチェ,ハーツクライ,Vale of York,牡,2017-01-22,158,182.5,21,489,570,180,0
552,リトルディッパーの2017,フェルカド,リトルディッパー,ハーツクライ,アグネスワールド,牡,2017-03-09,155,173,19.8,440,524,700,400
553,ピューリティーの2017,ラインハイト,ピューリティー,ハーツクライ,パントセレブル,牝,2017-04-09,150,175.5,19.8,429,493,4790,1500
554,アリテリテの2017,アルテフィーチェ,アリテリテ,ハーツクライ,Literato,牝,2017-02-15,154,180.5,19.7,462,546,701,400
555,フェリシアの2017,シャルロワ,フェリシア,ハーツクライ,グラスワンダー,牝,2017-05-04,156,175.5,19.6,457,468,1313,400
556,アヴェンチュラの2017,カイザーライン,アヴェンチュラ,エピファネイア,ジャングルポケット,牡,2017-01-19,153,184.5,21.5,491,573,664,400
557,ディアデラマドレの2017,クラヴェル,ディアデラマドレ,エピファネイア,キングカメハメハ,牝,2017-02-15,151.5,172.5,19.4,420,546,10412,2200
558,アンレールの2017,パドゥヴァルス,アンレール,エピファネイア,ディープインパクト,牝,2017-03-24,149.5,172,19.6,436,509,1430,900
559,ストールンハートの2017,タイズオブハート,ストールンハート,キズナ,Stuka,牝,2017-01-30,156,178.5,20.2,444,562,280,0
560,ディメンティカタの2017,レミニシェンザ,ディメンティカタ,オルフェーヴル,Danetime,牝,2017-04-19,153,176,19.2,427,483,2816,900
561,サトノジュピターの2017,アステロイドベルト,サトノジュピター,ルーラーシップ,アグネスタキオン,牡,2017-03-05,152,175.5,20,423,528,5535,1500
562,プリンセスカメリアの2017,アイスジェイド,プリンセスカメリア,ルーラーシップ,サンデーサイレンス,牡,2017-05-14,155,168.5,20.5,397,458,1775,0
563,マラコスダムブラダの2017,レシステンシア,マラコスダムブラダ,ダイワメジャー,Lizard Island,牝,2017-03-15,153.5,179,20,482,518,43500,23150
564,ピュアブリーゼの2017,ルヴァン,ピュアブリーゼ,ブラックタイド,Monsun,牡,2017-02-05,154,176,20.3,440,556,5059,1500
565,バロネスサッチャーの2017,グランドデューク,バロネスサッチャー,ジャスタウェイ,ヨハネスブルグ,牡,2017-03-21,151,177.5,20,457,512,773,400
566,イストワールの2017,ウェイヴァリー,イストワール,ノヴェリスト,サンデーサイレンス,牡,2017-02-01,159.5,178,20.6,497,560,1261,900
567,ヴェラブランカの2017,ヴェラアズール,ヴェラブランカ,エイシンフラッシュ,クロフネ,牡,2017-01-19,160,181,21.2,483,573,54410,25750
568,ソラコマチの2017,ジェネティクス,ソラコマチ,サウスヴィグラス,サクラバクシンオー,牡,2017-02-28,151,179,20.5,492,533,8602,3600
569,カフヴァールの2017,ベレヌス,カフヴァール,タートルボウル,デュランダル,牡,2017-03-06,156,174,21.2,457,527,13730,4450
570,カラベルラティーナの2017,ケープオブストーム,カラベルラティーナ,トゥザグローリー,クロフネ,牡,2017-02-06,159.5,180.5,21.5,494,555,258,0
571,ジュモーの2017,クロワドフェール,ジュモー,ハービンジャー,タニノギムレット,牝,2017-03-20,153.5,175,19,442,513,4806,1500
572,トゥザレジェンドの2017,プリマグラード,トゥザレジェンド,ヘニーヒューズ,キングカメハメハ,牝,2017-02-02,154,175,19.3,455,559,900,400
573,スペクトロライトの2017,ライトウォーリア,スペクトロライト,マジェスティックウォリアー,ディープインパクト,牡,2017-02-13,157,175,20.7,458,548,8050,3600
574,スネガエクスプレスの2017,チェルヴィーノ,スネガエクスプレス,リアルインパクト,ウォーエンブレム,牝,2017-02-02,158.5,183,20.2,490,559,180,0
575,ピースアンドウォーの2017,ヴァルキュリア,ピースアンドウォー,Tapit,War Front,牝,2017-04-01,148,168,19.6,437,501,6520,2400
576,ザガールインザットソングの2017,アヴァンセヴェリテ,ザガールインザットソング,Honor Code,My Golden Song,牝,2017-01-31,153,171,19.4,434,561,180,0
